"","year","state","rep","dem","other"
"659",2012,"oregon",733743,937321,49219
"660",2012,"pennsylvania",2619583,2907448,69468
"661",2012,"rhode island",155355,274342,7683
"662",2012,"south carolina",1049507,845756,26100
"663",2012,"south dakota",210541,144988,8166
"664",2012,"tennessee",1453097,953043,36664
"665",2012,"texas",4555799,3294440,112560
"666",2012,"utah",671747,229463,22091
"667",2012,"vermont",92700,199259,5315
"668",2012,"virginia",1789618,1905528,52712
"669",2012,"washington",1210369,1620432,70698
"670",2012,"west virginia",412406,234925,14312
"671",2012,"wisconsin",1408746,1613950,33917
"672",2012,"wyoming",170265,68780,6740
