"","year","state","rep","dem","other"
"137",1968,"texas",1227844,1266804,584568
"138",1968,"utah",238728,156665,27175
"139",1968,"vermont",85142,70255,6007
"140",1968,"virginia",590319,442387,328785
"141",1968,"washington",588510,616037,99734
"142",1968,"west virginia",307555,374091,72560
"143",1968,"wisconsin",809997,748804,130395
"144",1968,"wyoming",70927,45173,11105
"145",1972,"alabama",728701,256923,20469
"146",1972,"arizona",402812,198540,52153
"147",1972,"arkansas",445751,198899,3016
"148",1972,"california",4602096,3475847,289919
"149",1972,"colorado",597189,329980,26716
"150",1972,"connecticut",810763,555498,17239
"151",1972,"delaware",140357,92283,2876
"152",1972,"florida",1857759,718117,7407
"153",1972,"georgia",881496,289529,0
"154",1972,"idaho",199384,80826,30169
"155",1972,"illinois",2788179,1913472,21585
"156",1972,"indiana",1405154,708568,11807
"157",1972,"iowa",706207,496206,23531
"158",1972,"kansas",619812,270287,25996
"159",1972,"kentucky",676446,371159,19894
"160",1972,"louisiana",686852,298142,66497
"161",1972,"maine",256458,160584,229
"162",1972,"maryland",829305,505781,18726
"163",1972,"massachusetts",1112078,1332540,14138
"164",1972,"michigan",1961721,1459435,69169
"165",1972,"minnesota",898269,802346,41037
"166",1972,"mississippi",505125,126782,14056
"167",1972,"missouri",1153852,697147,0
"168",1972,"montana",183976,120197,13430
"169",1972,"nebraska",406298,169991,0
"170",1972,"nevada",115750,66016,0
"171",1972,"new hampshire",213724,116435,3896
"172",1972,"new jersey",1845502,1102211,49516
"173",1972,"new mexico",235606,141084,9241
"174",1972,"new york",4192778,2951084,17968
"175",1972,"north carolina",1054889,438705,25018
"176",1972,"north dakota",174109,100384,6021
"177",1972,"ohio",2441827,1558889,94071
"178",1972,"oklahoma",759025,247147,23728
"179",1972,"oregon",486686,392760,48500
"180",1972,"pennsylvania",2714521,1796951,80634
"181",1972,"rhode island",220383,194645,780
"182",1972,"south carolina",478427,189270,10166
"183",1972,"south dakota",166476,139945,994
"184",1972,"tennessee",813147,357293,30742
"185",1972,"texas",2298896,1154291,19527
"186",1972,"utah",323643,126284,28549
"187",1972,"vermont",117149,68174,1624
"188",1972,"virginia",988493,438887,29639
"189",1972,"washington",837135,568334,65378
"190",1972,"west virginia",484964,277435,0
"191",1972,"wisconsin",989430,810174,52393
"192",1972,"wyoming",100464,44358,748
"193",1976,"alabama",504070,659170,19302
"194",1976,"arizona",418642,295602,28475
"195",1976,"arkansas",268753,499614,1029
"196",1976,"california",3882244,3742284,242589
"197",1976,"colorado",584367,460353,36415
"198",1976,"connecticut",719261,647895,8890
"199",1976,"delaware",109831,122596,3407
"200",1976,"florida",1469531,1636000,45100
"201",1976,"georgia",483743,979409,0
"202",1976,"idaho",204151,126549,10232
"203",1976,"illinois",2364269,2271295,83269
"204",1976,"indiana",1183958,1014714,21690
"205",1976,"iowa",632863,619931,26512
"206",1976,"kansas",502752,430421,24672
"207",1976,"kentucky",531852,615717,19573
"208",1976,"louisiana",587446,661365,29628
"209",1976,"maine",236320,232279,14609
"210",1976,"maryland",672661,759612,0
"211",1976,"massachusetts",1030276,1429475,87806
"212",1976,"michigan",1893742,1696714,63293
"213",1976,"minnesota",819395,1070440,59754
"214",1976,"mississippi",366845,381309,21209
"215",1976,"missouri",927443,998387,24029
"216",1976,"montana",173703,149259,5772
"217",1976,"nebraska",359705,233692,14271
"218",1976,"nevada",101273,92479,8124
"219",1976,"new hampshire",185935,147635,6048
"220",1976,"new jersey",1509688,1444653,60131
"221",1976,"new mexico",211419,201148,4023
"222",1976,"new york",3100791,3389558,43847
"223",1976,"north carolina",741960,927365,8581
"224",1976,"north dakota",153470,136078,7542
"225",1976,"ohio",2000505,2011621,99748
"226",1976,"oklahoma",545708,532442,14101
"227",1976,"oregon",492120,490407,47349
"228",1976,"pennsylvania",2205604,2328677,86506
"229",1976,"rhode island",181249,227636,1699
"230",1976,"south carolina",346140,450825,4948
"231",1976,"south dakota",151505,147068,2105
"232",1976,"tennessee",633969,825879,16497
"233",1976,"texas",1953300,2082319,36265
"234",1976,"utah",337908,182110,21180
"235",1976,"vermont",102085,81044,4726
"236",1976,"virginia",836554,813896,46644
"237",1976,"washington",777732,717323,60479
"238",1976,"west virginia",314760,435914,0
"239",1976,"wisconsin",1004987,1040232,56117
"240",1976,"wyoming",92717,62239,1387
"241",1980,"alabama",654192,636730,51007
"242",1980,"arizona",529688,246843,97414
"243",1980,"arkansas",403164,398041,36377
"244",1980,"california",4524858,3083641,977302
"245",1980,"colorado",652264,367973,164178
"246",1980,"connecticut",677210,541732,186507
"247",1980,"delaware",111252,105754,18662
"248",1980,"florida",2046951,1419475,220600
"249",1980,"georgia",654168,890733,51682
"250",1980,"idaho",290699,110192,36540
"251",1980,"illinois",2358049,1981413,410259
"252",1980,"indiana",1255656,844197,142180
"253",1980,"iowa",676026,508672,132963
"254",1980,"kansas",566812,326150,86833
"255",1980,"kentucky",635274,616417,42936
"256",1980,"louisiana",792853,708453,47285
"257",1980,"maine",238522,220974,63515
"258",1980,"maryland",680606,726161,133729
"259",1980,"massachusetts",1057631,1053802,412865
"260",1980,"michigan",1915225,1661532,332968
"261",1980,"minnesota",873241,954174,224257
