"","votereg","age","female","nohighschool","collegeorhigher","nonwhite","married","employed","republican","democrat","independent","partisanship","impeach"
"16181",1,81,1,0,0,0,1,0,1,0,0,"Republican",0
"16182",0,38,1,1,0,0,0,0,0,0,1,"Independent",0
"16183",1,33,1,0,1,1,1,0,0,0,1,"Independent",0
"16184",1,30,0,0,1,0,1,0,0,0,1,"Independent",1
"16186",1,58,1,1,0,0,1,0,1,0,0,"Republican",0
"16188",1,29,1,0,1,0,0,1,0,1,0,"Democrat",1
"16189",1,29,1,0,1,0,1,1,1,0,0,"Republican",0
"16190",1,58,1,0,1,1,0,1,0,0,1,"Independent",1
"16192",1,77,1,0,0,0,0,0,0,1,0,"Democrat",1
"16193",1,70,0,0,1,1,0,1,1,0,0,"Republican",0
"16194",1,29,1,0,1,0,1,1,0,1,0,"Democrat",1
"16195",1,60,1,0,0,0,1,1,1,0,0,"Republican",0
"16196",1,53,1,0,1,1,0,0,0,1,0,"Democrat",1
"16197",1,28,0,0,1,0,1,1,0,0,1,"Independent",0
"16198",0,23,1,0,1,0,0,1,0,0,1,"Independent",0
"16199",1,49,1,1,0,0,0,0,1,0,0,"Republican",0
"16200",1,26,1,0,1,0,1,0,0,1,0,"Democrat",1
"16202",1,52,0,0,1,1,1,0,0,0,1,"Independent",1
"16203",1,62,1,1,0,0,1,1,1,0,0,"Republican",0
"16204",0,54,1,0,0,0,1,1,0,0,1,"Independent",0
"16205",1,54,0,0,0,0,1,1,0,1,0,"Democrat",0
"16206",1,50,0,0,0,0,0,1,1,0,0,"Republican",0
"16207",1,29,0,0,1,0,1,1,0,1,0,"Democrat",0
"16208",1,65,0,0,0,0,1,0,0,1,0,"Democrat",1
"16209",1,59,1,0,1,1,0,1,1,0,0,"Republican",0
"16210",1,51,1,0,0,0,1,0,0,1,0,"Democrat",1
"16211",1,61,1,0,0,0,1,1,1,0,0,"Republican",0
"16212",1,54,1,1,0,0,0,0,1,0,0,"Republican",0
"16213",1,41,0,0,1,0,1,0,0,0,1,"Independent",1
"16215",1,56,1,0,1,1,0,1,0,1,0,"Democrat",1
"16216",1,81,1,0,0,0,0,0,1,0,0,"Republican",0
"16217",1,59,1,1,0,0,1,0,1,0,0,"Republican",0
"16218",0,19,1,0,1,1,0,1,0,1,0,"Democrat",1
