"","votereg","age","female","nohighschool","collegeorhigher","nonwhite","married","employed","republican","democrat","independent","partisanship","impeach"
"16539",1,35,0,0,1,0,1,1,0,1,0,"Democrat",1
"16540",0,28,1,0,1,1,0,1,0,1,0,"Democrat",1
"16541",1,62,1,0,1,1,0,1,1,0,0,"Republican",0
"16542",0,35,1,1,0,0,1,1,0,0,1,"Independent",0
"16543",1,64,1,0,0,0,0,1,0,0,1,"Independent",0
"16544",1,65,0,0,1,1,1,0,0,0,1,"Independent",0
"16547",1,26,1,0,1,0,0,0,0,1,0,"Democrat",1
"16548",1,29,1,0,1,0,0,1,1,0,0,"Republican",0
"16549",1,61,0,0,0,0,1,1,0,1,0,"Democrat",1
"16550",1,66,0,1,0,0,1,1,0,0,1,"Independent",0
"16551",1,61,0,0,1,1,0,0,1,0,0,"Republican",1
"16552",1,67,1,0,0,0,1,1,0,1,0,"Democrat",0
"16554",1,48,0,0,0,0,0,1,0,0,1,"Independent",0
"16555",1,67,0,0,0,0,1,0,0,1,0,"Democrat",1
